,Mkt-RF,SMB,HML,RMW,CMA,Rf
20160822,-0.02,0.23,-0.4,0.01,-0.36,1.57
20160823,0.27,0.55,-0.02,-0.02,0.06,1.57
20160824,-0.55,-0.46,0.37,0.44,-0.09,1.58
20160825,-0.08,0.21,0.48,-0.26,0.28,1.57
20160826,-0.15,0.11,-0.09,-0.39,-0.2,1.60
20160829,0.53,0,0.34,-0.08,0.2,1.55
20160830,-0.14,0.22,0.29,-0.12,-0.32,1.54
20160831,-0.24,-0.36,0.14,0.26,-0.35,1.61
20160901,0.03,0.07,-0.5,0.1,-0.14,1.67
20160902,0.53,0.44,0.35,-0.13,0.19,1.68
20160906,0.26,0.03,-0.54,-0.62,0.03,1.73
20160907,0.09,0.62,0.02,-0.06,-0.25,1.70
20160908,-0.18,0.04,0.59,-0.84,0.41,1.71
20160909,-2.47,-0.57,0.41,0.03,-0.44,1.70
20160912,1.44,-0.04,-0.45,-0.15,-0.18,1.70
20160913,-1.48,-0.31,-0.43,0.55,-0.7,1.69
20160914,-0.08,0.05,-0.82,0.09,-0.45,1.66
20160915,1.08,0.3,-0.31,0.06,-0.21,1.63
20160916,-0.36,0.29,-0.45,0.21,-0.19,1.62
20160919,0.05,0.51,0.14,-0.08,0.36,1.59
20160920,-0.02,-0.35,-0.4,-0.55,-0.1,1.56
20160921,1.12,0.21,0.34,-0.4,0.52,1.57
20160922,0.7,0.81,-0.06,0.08,0.11,1.56
20160923,-0.6,-0.05,-0.21,0.53,-0.51,1.60
20160926,-0.88,-0.3,-0.35,-0.15,0.17,1.63
20160927,0.64,-0.13,-0.5,-0.04,-0.38,1.69
20160928,0.56,0.24,1.11,-0.91,1.15,1.72
20160929,-0.98,-0.39,0.51,0.28,0.67,1.75
20160930,0.88,0.43,0.34,-0.2,0.1,1.73
20161003,-0.26,-0.04,-0.12,0.02,0.17,1.77
20161004,-0.46,0.05,0.15,0.11,-0.31,1.79
20161005,0.58,0.42,0.8,-0.48,0.44,1.75
20161006,-0.06,-0.23,0.28,0.44,0.23,1.80
20161007,-0.38,-0.54,0.2,-0.28,-0.35,1.77
20161010,0.52,0.57,0.05,-0.54,-0.19,1.75
20161011,-1.3,-0.57,0.43,0.39,0.08,1.76
20161012,0.06,-0.22,0.34,0.67,0.14,1.76
20161013,-0.42,-0.74,-0.63,0.33,-0.15,1.74
20161014,0.01,-0.36,0.58,0.07,0.1,1.77
20161017,-0.29,-0.01,0.15,0.1,0.11,1.77
20161018,0.6,-0.16,0.05,-0.3,-0.31,1.79
20161019,0.25,0.13,0.94,-0.12,0.49,1.85
20161020,-0.16,-0.04,-0.11,-0.48,-0.02,1.86
20161021,0.02,-0.18,-0.33,0.17,-0.17,1.84
20161024,0.54,0.07,-0.19,0.59,-0.49,1.83
20161025,-0.46,-0.61,0.24,0.01,-0.02,1.81
20161026,-0.23,-0.73,0.7,0.12,0.51,1.82
20161027,-0.33,-0.94,0.56,-0.11,0.01,1.79
20161028,-0.29,-0.13,0.08,-0.13,0.36,1.83
20161031,0.02,0.11,0.1,0.48,-0.34,1.88
20161101,-0.68,-0.38,0.2,-0.5,-0.06,2.07
20161102,-0.73,-0.56,0.25,0.97,0.11,2.15
20161103,-0.4,-0.37,1.05,0.13,0.8,2.23
20161104,-0.12,0.85,-0.44,-0.09,-0.05,2.23
20161107,2.23,0.17,-0.13,-0.31,-0.22,2.22
20161108,0.4,-0.11,-0.22,-0.06,0.29,2.29
20161109,1.46,2.13,1.07,-0.81,0.71,2.34
20161110,0.32,1.46,1.84,-0.26,0.35,2.33
20161111,0.18,2.53,-0.02,0.02,-0.33,2.31
20161114,0.21,0.92,1.41,-0.22,0.34,2.36
20161115,0.8,-0.54,0.15,-0.5,0.22,2.36
20161116,-0.12,0.22,-0.56,0.76,-0.16,2.32
20161117,0.56,0.16,-0.15,0.16,-0.42,2.30
20161118,-0.16,0.57,0.38,-0.2,0.11,2.37
20161121,0.77,-0.26,0.06,-0.05,0.35,2.45
20161122,0.31,0.64,0.53,0.85,0.28,2.40
20161123,0.16,0.56,0.19,-0.26,0.16,2.39
20161125,0.4,-0.05,-0.29,0.26,-0.16,2.39
20161128,-0.64,-0.77,0.09,0.68,-0.35,2.34
20161129,0.11,-0.38,-0.05,0.44,-0.5,2.40
20161130,-0.25,-0.17,2.21,-1.43,1.99,2.47
20161201,-0.36,-0.39,2.03,0.31,0.62,2.49
20161202,0,-0.01,-0.32,-0.11,0.09,2.48
20161205,0.75,1.12,0.27,-0.31,-0.16,2.54
20161206,0.48,0.63,0.22,-0.16,-0.08,2.60
20161207,1.26,-0.49,0.48,0.84,-0.01,2.60
20161208,0.36,1.24,0.61,-0.22,-0.1,2.54
20161209,0.46,-0.35,0.2,-0.06,-0.04,2.57
20161212,-0.3,-0.98,-0.13,0.11,0.04,2.55
20161213,0.6,-0.58,-0.26,0.06,-0.17,2.55
20161214,-0.82,-0.39,-0.28,0.44,-0.51,2.55
20161215,0.46,0.46,0.3,0.03,0.05,2.57
20161216,-0.22,-0.01,-0.41,-0.15,-0.01,2.51
20161219,0.22,0.32,0.06,0.21,0.05,2.49
20161220,0.44,0.5,0.63,0.12,0.1,2.45
20161221,-0.24,-0.34,0.19,0.15,0.05,2.45
20161222,-0.3,-0.78,0.26,-0.21,0.05,2.46
20161223,0.19,0.53,-0.5,-0.36,-0.15,2.37
20161227,0.27,0.23,0.14,0.17,0.04,2.42
20161228,-0.87,-0.29,0.09,0.18,-0.15,2.38
20161229,-0.04,0.1,-0.33,0.27,0.02,2.38
20161230,-0.52,-0.06,0.2,-0.11,0.03,2.38
20170103,0.83,-0.11,0.06,-0.21,0.26,2.36
20170104,0.79,0.97,-0.16,-0.47,-0.04,2.40
20170105,-0.21,-1.02,-0.79,-0.21,-0.08,2.33
20170106,0.29,-0.74,-0.31,-0.35,-0.3,2.42
20170109,-0.37,-0.34,-1.03,0.14,-0.52,2.47
20170110,0.16,0.93,0.43,0.04,0.04,2.48
20170111,0.31,-0.16,0.68,0.07,0.28,2.41
20170112,-0.3,-0.65,-0.87,0.05,-0.28,2.47
20170113,0.29,0.59,-0.08,-0.28,-0.17,2.53
20170117,-0.49,-0.96,-0.64,0.59,0.39,2.51
20170118,0.24,0.2,0.24,-0.11,-0.1,2.49
20170119,-0.38,-0.55,-0.05,-0.1,-0.03,2.49
20170120,0.33,0.09,0.23,0.14,0.01,2.45
20170123,-0.29,-0.06,-0.33,0.43,-0.35,2.48
20170124,0.83,0.8,0.81,-0.24,0.49,2.48
20170125,0.84,0.21,0.43,-0.26,-0.16,2.49
20170126,-0.1,-0.58,0.41,-0.08,-0.16,2.42
20170127,-0.12,-0.06,-0.68,0.1,0.05,2.40
20170130,-0.68,-0.74,-0.46,0.6,-0.15,2.34
20170131,0,0.82,-0.56,-0.4,-0.25,2.40
20170201,0.03,-0.08,0.04,0.22,-0.22,2.41
20170202,-0.02,-0.3,-0.29,-0.31,0.16,2.43
20170203,0.82,0.62,0.75,-0.5,0.31,2.47
20170206,-0.27,-0.64,-0.19,0.1,-0.21,2.51
20170207,-0.01,-0.38,-0.52,0.39,-0.23,2.45
20170208,0.06,-0.28,-0.6,0.3,-0.07,2.42
20170209,0.72,0.7,0.07,-0.27,0.05,2.43
20170210,0.38,0.41,0.14,0.01,0.15,2.42
20170213,0.49,-0.26,0.33,0,0.04,2.38
20170214,0.45,-0.17,0.36,-0.44,-0.08,2.31
20170215,0.54,0.14,-0.43,0.2,-0.06,2.36
20170216,-0.16,-0.22,0.01,0.27,-0.23,2.36
20170217,0.2,-0.06,-0.54,0.01,-0.4,2.46
20170221,0.6,0.06,0.13,0.32,0.37,2.49
20170222,-0.15,-0.38,0.1,0.48,-0.33,2.49
20170223,-0.11,-0.71,0.25,-0.25,-0.45,2.49
20170224,0.15,-0.11,-0.98,0.33,-0.23,2.52
20170227,0.22,0.85,-0.33,-0.38,-0.15,2.57
20170228,-0.42,-1.36,0.16,-0.01,-0.2,2.60
20170301,1.47,0.52,0.77,-0.54,0.53,2.58
20170302,-0.7,-0.54,-0.9,0.63,-0.43,2.62
20170303,0.09,-0.18,0.14,-0.06,-0.1,2.60
20170306,-0.38,-0.41,-0.08,-0.05,0.01,2.51
20170307,-0.36,-0.35,-0.06,0.1,-0.25,2.53
20170308,-0.19,-0.19,-0.83,0.44,-0.75,2.50
20170309,0.04,-0.53,-0.23,-0.58,-0.14,2.47
20170310,0.34,0.06,-0.48,0.27,0.04,2.43
20170313,0.13,0.32,-0.07,-0.12,0.04,2.40
20170314,-0.36,-0.22,0,0.5,-0.25,2.41
20170315,0.86,0.7,-0.46,-0.12,0.5,2.40
20170316,-0.06,0.44,0.22,-0.16,-0.36,2.38
20170317,-0.08,0.58,-0.33,0.15,0.02,2.42
20170320,-0.25,-0.2,-0.72,-0.15,-0.05,2.39
20170321,-1.48,-1.41,-0.71,0.86,0.29,2.42
20170322,0.16,-0.33,-0.57,0.16,-0.16,2.40
20170323,-0.03,0.74,0.49,-0.03,0.2,2.35
20170324,-0.05,0.11,-0.21,-0.26,-0.32,2.36
20170327,-0.05,0.47,-0.49,-0.21,-0.27,2.34
20170328,0.72,-0.05,0.72,0.05,0.39,2.34
20170329,0.18,0.33,-0.09,-0.25,0.12,2.38
20170330,0.36,0.42,0.92,-0.06,-0.16,2.37
20170331,-0.16,0.55,-0.32,0.04,0.08,2.32
20170403,-0.28,-1.15,-0.08,-0.15,-0.06,2.28
20170404,0.05,-0.24,0.32,-0.08,0.2,2.24
20170405,-0.44,-0.83,-0.3,0.46,-0.1,2.26
20170406,0.32,0.74,0.48,-0.13,0.37,2.18
20170407,-0.08,0.07,-0.26,0.01,-0.05,2.21
20170410,0.08,0.14,0.07,0.19,0.49,2.24
20170411,-0.05,0.8,0.23,0.21,0.19,2.24
20170412,-0.49,-0.94,-0.54,-0.04,-0.54,2.28
20170413,-0.75,-0.34,-0.81,-0.03,-0.38,2.35
20170417,0.89,0.29,0.24,0.02,-0.14,2.32
20170418,-0.25,0.31,-0.19,0.31,0.11,2.30
20170419,-0.08,0.56,-0.44,0.44,-0.84,2.29
20170420,0.83,0.6,0.26,0.19,-0.2,2.33
20170421,-0.28,0.06,-0.15,0.35,-0.19,2.29
20170424,1.18,0.29,0.5,-0.07,0.16,2.33
20170425,0.65,0.4,-0.07,-0.38,0.31,2.36
20170426,0.04,0.75,0.32,0.23,0,2.36
20170427,0.05,-0.2,-0.98,0.2,-0.57,2.39
20170428,-0.3,-0.76,-0.61,0.1,-0.19,2.42
20170501,0.21,0.25,-0.13,-0.17,-0.5,2.41
20170502,0.03,-0.47,-0.21,0.4,-0.35,2.39
20170503,-0.19,-0.52,0.22,-0.04,0.13,2.33
20170504,0.02,-0.13,-0.36,0.36,-0.71,2.34
20170505,0.46,0.11,0,-0.22,0.65,2.33
20170508,-0.04,-0.21,0.26,0.13,0.08,2.22
20170509,-0.05,0.4,-0.81,0.34,-0.37,2.23
20170510,0.2,0.25,0.03,-0.31,0.39,2.23
20170511,-0.26,-0.43,-0.15,-0.25,-0.02,2.25
20170512,-0.18,-0.38,-0.61,-0.27,-0.33,2.29
20170515,0.53,0.25,0.2,-0.31,0.04,2.26
20170516,-0.03,0.1,-0.09,-0.25,-0.12,2.25
20170517,-1.97,-0.96,-0.6,0.53,0.29,2.25
20170518,0.4,0,-0.39,-0.33,-0.59,2.21
20170519,0.7,-0.34,0.4,-0.09,0.79,2.21
20170522,0.56,0.25,-0.3,-0.04,-0.31,2.21
20170523,0.18,-0.01,0.65,-0.23,0.08,2.15
20170524,0.24,-0.19,-0.46,0.14,-0.3,2.18
20170525,0.42,-0.35,-0.75,0.54,-0.63,2.14
20170526,0.06,-0.03,0.1,0.18,0.14,2.18
20170530,-0.19,-0.54,-0.34,0.63,-0.04,2.19
20170531,-0.02,-0.04,-0.53,0.28,-0.09,2.21
20170601,0.95,1.03,0.04,-0.2,0.05,2.21
20170602,0.35,0.44,-0.76,0.15,-0.48,2.21
20170605,-0.17,-0.46,-0.03,-0.17,0.05,2.15
20170606,-0.28,0.1,-0.03,-0.47,0.38,2.16
20170607,0.15,-0.12,-0.04,0.53,-0.67,2.16
20170608,0.18,1.19,0.93,-0.69,-0.05,2.19
20170609,-0.12,0.31,2.44,-0.15,1.09,2.16
20170612,-0.11,-0.17,0.34,0.08,0.57,2.16
20170613,0.55,0.06,-0.14,-0.3,-0.08,2.15
20170614,-0.17,-0.55,-0.52,0.12,-0.52,2.15
20170615,-0.3,-0.3,-0.11,0.08,-0.1,2.14
20170616,-0.03,-0.25,-0.15,-0.46,0.16,2.21
20170619,0.86,0.1,-0.75,-0.11,-0.1,2.22
20170620,-0.73,-0.45,-0.48,-0.21,-0.23,2.27
20170621,-0.07,-0.23,-1.67,-0.23,-1.15,2.31
20170622,0.02,0.46,-0.4,-0.17,-0.02,2.35
20170623,0.24,0.75,-0.48,-0.37,0.08,2.33
20170626,0.04,0.09,0.7,0.22,0.18,2.37
20170627,-0.85,-0.21,1.34,0.34,0.35,2.39
20170628,1.02,0.8,0.21,-0.2,-0.1,2.38
20170629,-0.83,0.05,1.37,-0.23,0.34,2.37
20170630,0.14,-0.09,-0.29,0.21,0.3,2.33
20170703,0.24,0.44,1.21,-0.53,0.71,2.35
20170705,0.12,-0.69,-0.58,0.14,-0.67,2.33
20170706,-0.95,-0.44,0.12,0.21,-0.08,2.31
20170707,0.7,0.4,-0.41,0.18,-0.5,2.27
20170710,0.05,-0.47,-0.08,-0.12,0,2.27
20170711,0,0.29,-0.55,-0.33,0.18,2.27
20170712,0.72,0.06,-0.53,0.12,-0.21,2.24
20170713,0.17,-0.01,0.39,-0.04,0.18,2.26
20170714,0.42,-0.22,-0.52,0.16,-0.01,2.33
20170717,0,0.22,0.1,0.18,0.09,2.29
20170718,0.04,-0.37,-0.31,-0.09,-0.42,2.32
20170719,0.59,0.46,0.03,-0.23,0.2,2.30
20170720,0,0.06,-0.04,0.12,-0.29,2.30
20170721,-0.08,-0.42,-0.24,-0.01,-0.33,2.26
20170724,-0.03,0.1,-0.19,-0.24,-0.41,2.27
20170725,0.38,0.44,0.96,-0.19,0.66,2.24
20170726,-0.06,-0.48,-0.77,-0.16,0.07,2.27
20170727,-0.14,-0.68,0.44,0.28,0.35,2.26
20170728,-0.17,-0.06,0.26,-0.21,0.25,2.29
20170731,-0.11,-0.28,0.43,-0.07,0.04,2.24
20170801,0.24,-0.13,0.14,0.27,-0.5,2.20
20170802,-0.08,-1.16,0.14,0.04,-0.39,2.19
20170803,-0.21,-0.36,-0.33,0.28,-0.35,2.22
20170804,0.25,0.36,0.39,-0.03,0.09,2.27
20170807,0.16,-0.1,-0.58,0.24,-0.37,2.23
20170808,-0.24,-0.08,0.24,-0.33,-0.19,2.19
20170809,-0.14,-0.8,-0.07,0.14,0.04,2.19
20170810,-1.49,-0.31,0.27,0.3,0.1,2.18
20170811,0.19,0.17,-0.87,0.36,-0.08,2.22
20170814,1.03,0.33,0.13,-0.05,-0.46,2.17
20170815,-0.11,-0.87,-0.03,-0.17,-0.25,2.19
20170816,0.18,-0.14,-0.44,0.33,-0.14,2.17
20170817,-1.6,-0.18,-0.17,-0.04,0.14,2.16
20170818,-0.15,0.11,0.24,-0.27,0,2.13
20170821,0.06,-0.27,-0.22,0.2,-0.15,2.15
20170822,1.07,-0.02,-0.23,-0.18,0.19,2.12
20170823,-0.33,0.12,0.41,-0.49,0.12,2.16
20170824,-0.14,0.57,0.17,-0.49,0.22,2.07
20170825,0.18,0.16,0.56,0.13,0.24,2.10
20170828,0.08,0.31,-0.73,0.18,-0.1,2.05
20170829,0.1,0.09,-0.39,0,0.07,2.06
20170830,0.53,0,-0.31,0.09,-0.38,2.14
20170831,0.62,0.38,-0.43,-0.31,0.06,2.17
20170901,0.27,0.43,0.41,-0.08,0.35,2.20
20170905,-0.81,-0.03,-0.99,-0.06,0.49,2.20
20170906,0.28,-0.05,0.12,-0.37,0.16,2.20
20170907,-0.07,0.01,-0.92,0.03,0.12,2.23
20170908,-0.16,0.13,0.38,0.22,-0.11,2.24
20170911,1.08,-0.06,0.64,-0.32,-0.08,2.28
20170912,0.44,0.33,0.72,0.09,0.18,2.27
20170913,0.11,0.27,0.33,-0.33,0.13,2.26
20170914,-0.12,-0.07,-0.06,-0.32,0.24,2.22
20170915,0.19,0.25,0.14,0.29,-0.03,2.24
20170918,0.24,0.4,0.2,-0.48,0.25,2.31
20170919,0.15,-0.2,0.39,0.04,0.05,2.31
20170920,0.16,0.27,0.49,-0.18,0.31,2.33
20170921,-0.28,0.15,0.37,-0.05,-0.06,2.34
20170922,0.12,0.43,0.12,0.38,0.32,2.33
20170925,-0.25,0.35,0.6,-0.21,0.62,2.33
20170926,0.05,0.47,0.17,0.57,-0.17,2.35
20170927,0.63,1.44,0.23,-0.29,-0.47,2.37
20170928,0.13,0.17,-0.04,-0.1,-0.15,2.35
20170929,0.35,-0.14,-0.26,-0.11,-0.32,2.35
20171002,0.5,0.88,0.13,-0.21,0.24,2.33
20171003,0.26,-0.03,-0.05,-0.02,-0.09,2.28
20171004,0.05,-0.34,-0.46,-0.1,0.05,2.30
20171005,0.55,-0.31,0.38,-0.31,-0.18,2.30
20171006,-0.08,-0.08,-0.26,0.17,-0.36,2.34
20171009,-0.22,-0.28,0,0.11,-0.21,2.33
20171010,0.24,0.04,0.43,0.11,-0.1,2.39
20171011,0.16,-0.25,-0.19,-0.05,-0.09,2.38
20171012,-0.18,-0.11,-0.52,0.17,0.09,2.42
20171013,0.04,-0.3,0.1,0.22,-0.01,2.44
20171016,0.17,-0.29,0.33,0.03,-0.08,2.46
20171017,0.01,-0.34,-0.3,0.41,-0.17,2.42
20171018,0.14,0.35,0.22,0.31,-0.14,2.37
20171019,0.02,-0.35,0.18,0.14,0.09,2.38
20171020,0.57,0,0.27,0.09,-0.01,2.37
20171023,-0.45,-0.36,0.18,0.26,-0.37,2.35
20171024,0.2,-0.11,0.5,0.01,-0.11,2.34
20171025,-0.51,0.05,0.16,0.24,-0.49,2.32
20171026,0.2,0.07,0.3,0.15,-0.17,2.32
20171027,0.82,-0.05,-0.96,0.08,-1.22,2.32
20171030,-0.46,-0.79,-0.04,-0.57,-0.29,2.33
20171031,0.23,0.77,-0.25,-0.2,0.13,2.40
20171101,0.05,-0.8,0.08,-0.01,-0.06,2.40
20171102,0.06,0.02,0.5,-0.25,0.29,2.38
20171103,0.31,-0.54,-0.72,-0.15,-0.08,2.33
20171106,0.06,0.15,0.2,-0.65,0.19,2.37
20171107,-0.2,-1.43,-0.41,0.48,-0.13,2.35
20171108,0.12,-0.04,-0.59,0.55,-0.09,2.37
20171109,-0.41,0,0.24,0,0.06,2.36
20171110,0.01,0.06,-0.42,0.22,0.11,2.32
20171113,0.09,-0.29,0.09,0.04,-0.81,2.34
20171114,-0.22,-0.06,0.01,0.93,-0.5,2.32
20171115,-0.52,0.05,0.22,-0.05,0.17,2.34
20171116,1.01,0.85,-0.54,0.54,-0.04,2.37
20171117,-0.14,0.72,0.29,-0.17,0.46,2.42
20171120,0.21,0.62,0.02,0.26,0,2.37
20171121,0.67,0.36,-0.33,0.03,-0.58,2.37
20171122,-0.05,0.08,-0.07,-0.22,0.23,2.36
20171124,0.21,0.01,-0.43,0.04,-0.07,2.33
20171127,-0.06,-0.3,0.01,0.61,-0.17,2.37
20171128,1.06,0.57,0.87,0.28,0,2.38
20171129,0.02,0.35,1.51,0.76,0.5,2.39
20171130,0.82,-0.61,-0.51,-0.21,0.14,2.40
20171201,-0.22,-0.32,0.38,-0.41,0.38,2.36
20171204,-0.1,-0.13,1.23,0.96,0.52,2.35
20171205,-0.43,-0.47,-0.23,0.22,-0.19,2.35
20171206,-0.09,-0.51,-0.53,0.41,-0.52,2.39
20171207,0.42,0.27,-0.2,-0.23,0.13,2.46
20171208,0.51,-0.44,-0.13,-0.07,0.16,2.49
20171211,0.26,-0.44,-0.19,-0.05,0.07,2.48
20171212,0.07,-0.44,0.5,0.03,0.09,2.48
20171213,0.02,0.62,-0.89,0.28,-0.07,2.47
20171214,-0.47,-0.76,-0.22,-0.17,-0.13,2.42
20171215,0.92,0.68,0.05,0.31,-0.47,2.43
20171218,0.67,0.82,0.27,0.21,0.17,2.40
20171219,-0.3,-0.33,-0.24,0.26,0.38,2.46
20171220,0.01,0.37,0.06,-0.16,0.35,2.44
20171221,0.24,0.3,0.63,-0.71,0.32,2.46
20171222,-0.07,-0.2,-0.21,-0.1,0.21,2.47
20171226,-0.07,0.31,-0.07,-0.13,0.58,2.49
20171227,0.05,-0.16,-0.2,0.09,-0.15,2.55
20171228,0.22,0.1,0.05,-0.14,-0.21,2.55
20171229,-0.57,-0.31,0,0.17,0.17,2.54
20180102,0.85,0.3,-0.22,-0.5,0.31,2.55
20180103,0.59,-0.46,-0.18,-0.7,-0.06,2.54
20180104,0.42,-0.22,0.24,-0.02,0.31,2.57
20180105,0.66,-0.37,-0.26,0.37,-0.37,2.62
20180108,0.19,-0.2,0.04,-0.07,0,2.64
20180109,0.15,-0.38,-0.03,-0.13,0.03,2.66
20180110,-0.07,0.14,0.57,-0.33,0.03,2.63
20180111,0.87,1.13,0.31,-0.22,0.59,2.65
20180112,0.66,-0.32,0.16,-0.1,0.19,2.63
20180116,-0.49,-0.99,0.01,0.44,-0.41,2.66
20180117,0.95,-0.05,-0.1,-0.08,-0.1,2.70
20180118,-0.18,-0.43,-0.25,0.29,-0.38,2.73
20180119,0.57,0.94,-0.04,0.07,0.12,2.72
20180122,0.77,-0.35,-0.16,-0.54,0.23,2.78
20180123,0.22,0.07,-0.36,-0.38,-0.27,2.84
20180124,-0.13,-0.75,0.44,0,0.1,2.77
20180125,0.07,0.11,-0.54,0.19,-0.18,2.79
20180126,1.11,-0.61,-0.52,0.3,-0.17,2.84
20180129,-0.62,0,-0.25,0.14,-0.37,2.85
20180130,-1.06,0.12,-0.21,0.38,-0.41,2.83
20180131,-0.07,-0.68,0.11,0.1,-0.03,2.86
20180201,0.03,0.12,0.54,-0.54,0.01,2.83
20180202,-2.13,0.01,-0.29,0.61,-0.51,2.91
20180205,-4.03,0.66,-0.58,0.16,-0.07,2.90
20180206,1.67,-0.48,-0.18,0.05,-0.02,2.87
20180207,-0.38,0.61,0.21,0.34,0.23,2.88
20180208,-3.68,0.8,0.52,0.4,-0.04,2.94
20180209,1.36,-0.55,0.15,0.17,-0.33,2.92
20180212,1.36,-0.47,-0.3,-0.24,-0.09,2.88
20180213,0.31,0.13,-0.24,0.21,-0.11,2.86
20180214,1.52,0.29,0.48,-0.67,-0.03,2.90
20180215,1.21,-0.16,-0.63,0.19,-0.34,2.87
20180216,0.03,0.36,0.16,0.04,0.05,2.81
20180220,-0.62,-0.35,-0.24,-0.27,-0.14,2.86
20180221,-0.43,0.8,0.23,0.07,-0.19,2.88
20180222,0.01,-0.04,-0.4,0.13,0.48,2.88
20180223,1.54,-0.38,-0.15,-0.17,-0.06,2.89
20180226,1.12,-0.48,-0.07,-0.16,-0.24,2.86
20180227,-1.25,-0.19,0.03,-0.09,-0.06,2.90
20180228,-1.11,-0.43,-0.31,0.21,-0.26,2.87
20180301,-1.19,0.96,-0.02,-0.24,0.05,2.84
20180302,0.7,1.11,-0.49,-0.41,-0.35,2.81
20180305,1.06,-0.41,0.23,-0.59,0.09,2.82
20180306,0.36,0.69,0.12,0.22,-0.02,2.85
20180307,0.05,0.76,-0.44,-0.04,-0.31,2.85
20180308,0.37,-0.57,-0.36,0.01,-0.18,2.89
20180309,1.7,-0.2,0.28,-0.26,0.01,2.89
20180312,-0.09,0.44,-0.08,-0.34,-0.23,2.83
20180313,-0.67,0.1,0.03,0.48,0,2.82
20180314,-0.53,0.14,-0.58,-0.11,-0.39,2.85
20180315,-0.18,-0.38,0.32,0.14,-0.12,2.78
20180316,0.25,0.47,0.18,0.06,0.29,2.77
20180319,-1.38,0.41,0.41,0.32,0.1,2.74
20180320,0.15,-0.13,-0.36,-0.01,-0.07,2.73
20180321,-0.06,0.69,0.45,-1.08,0.87,2.79
20180322,-2.54,0.4,-0.49,0.21,0.01,2.79
20180323,-2.09,0.09,-0.23,0.13,0.77,2.83
20180326,2.67,-0.62,0.03,0,-0.61,2.77
20180327,-1.87,-0.23,0.37,0.78,0.53,2.78
20180328,-0.35,0.21,0.65,0.75,-0.08,2.80
20180329,1.41,-0.31,-0.22,-0.37,-0.16,2.79
20180402,-2.29,-0.09,0.36,0.17,-0.07,2.83
20180403,1.24,-0.02,0.19,0.26,0.19,2.82
20180404,1.17,0.34,-0.32,0.07,-0.13,2.83
20180405,0.75,0.05,0.47,0.11,0.28,2.82
20180406,-2.19,0.37,-0.06,0.14,-0.04,2.87
20180409,0.3,-0.24,-0.53,-0.75,-0.28,2.92
20180410,1.77,0.33,-0.12,-0.84,0.55,2.96
20180411,-0.49,0.79,-0.31,-0.62,0.3,2.98
20180412,0.84,-0.17,0.19,-0.22,0.09,3.00
20180413,-0.37,-0.1,-0.24,-0.07,0.2,3.03
20180416,0.82,0.14,-0.02,0.8,0.03,3.00
20180417,1.09,0.01,-1.18,-0.24,-0.4,2.96
20180418,0.13,0.21,0.02,-0.28,0.49,2.95
20180419,-0.49,-0.3,1.08,-0.48,0.07,2.97
20180420,-0.81,0.1,0.58,-0.54,0.28,2.97
20180423,-0.05,-0.06,0.2,0.29,0.11,2.94
20180424,-1.3,0.65,1.02,0.04,0.09,2.95
20180425,0.1,-0.27,0.08,0.4,0.14,2.95
20180426,0.96,-0.55,-0.85,-0.53,-0.43,2.97
20180427,0.01,-0.26,0.03,0.62,0.08,3.00
20180430,-0.8,-0.07,-0.1,-0.41,-0.07,2.97
20180501,0.24,0.25,-0.55,-0.04,-0.96,2.97
20180502,-0.63,1.25,-0.36,0.04,0.02,3.00
20180503,-0.25,-0.61,-0.15,0.05,-0.12,3.08
20180504,1.3,-0.02,-0.2,-0.43,0,3.09
20180507,0.42,0.37,-0.34,-0.52,-0.22,3.11
20180508,0.07,0.51,0.24,-0.25,0.08,3.06
20180509,0.89,-0.28,0.26,-0.89,0.14,3.06
20180510,0.85,-0.38,-0.05,0.23,-0.33,3.06
20180511,0.19,0.14,-0.38,0.25,0.12,3.01
20180514,0.05,-0.3,0.1,-0.19,0.49,2.98
20180515,-0.55,0.71,0.41,-0.07,0.38,2.93
20180516,0.5,0.7,-0.25,0.35,0.06,2.77
20180517,0.02,0.86,0.3,-0.36,0.43,2.84
20180518,-0.23,0.45,-0.61,0.11,-0.18,2.83
20180521,0.72,-0.18,0.44,0.17,0.11,2.89
20180522,-0.42,-0.65,0.61,-0.32,-0.41,2.94
20180523,0.29,-0.07,-0.7,0.01,-0.33,2.92
20180524,-0.16,0.34,-0.35,0.5,0.11,2.97
20180525,-0.21,0.24,-0.4,0.55,-0.59,2.93
20180529,-1.04,1.11,-1.02,0.18,-0.01,2.93
20180530,1.31,0.04,0.37,-0.72,0.18,2.96
20180531,-0.7,0.05,-0.43,-0.5,-0.12,2.96
20180601,1.06,-0.21,-0.11,-0.06,-0.17,2.98
20180604,0.48,0.18,-0.44,1.02,-0.43,2.94
20180605,0.16,0.78,-0.44,0.22,0.17,2.93
20180606,0.86,-0.27,0.2,-0.03,0.17,2.92
20180607,-0.14,-0.26,0.93,0.17,0.59,2.89
20180608,0.31,0.04,-0.4,0.24,-0.19,2.93
20180611,0.12,0.15,-0.16,0.2,0.24,2.90
20180612,0.23,0.18,-0.63,0.08,-0.15,2.90
20180613,-0.33,0.03,-0.2,-0.53,-0.18,2.87
20180614,0.27,0.2,-1,-0.04,-0.61,2.88
20180615,-0.08,0.12,-0.25,0.66,-0.22,2.83
20180618,-0.09,0.74,0.08,-0.41,0.1,2.84
20180619,-0.38,0.54,-0.14,-0.24,-0.46,2.85
