,Mkt-RF,SMB,HML,RMW,CMA,Rf
20131003,-0.88,-0.17,0.19,0.04,0.25,2.62
20131004,0.74,-0.01,0.11,-0.27,-0.12,2.66
20131007,-0.95,-0.29,-0.01,0.11,0.16,2.65
20131008,-1.35,-0.4,0.79,0.6,0.53,2.66
20131009,-0.05,-0.34,0.62,0.47,0.34,2.68
20131010,2.23,0.19,-0.04,-0.33,-0.27,2.71
20131011,0.71,0.77,0,0.12,-0.13,2.70
20131014,0.44,0.19,-0.09,0.07,-0.12,2.75
20131015,-0.73,-0.19,0.03,0.28,-0.13,2.69
20131016,1.37,-0.32,0.17,-0.59,-0.03,2.61
20131017,0.7,0.11,-0.06,-0.15,0.04,2.60
20131018,0.73,0.25,0.13,-0.07,-0.42,2.63
20131021,-0.02,-0.12,0.01,0.27,0.03,2.54
20131022,0.5,-0.27,0.05,0.23,0.32,2.51
20131023,-0.51,0.17,-0.33,0.59,0.19,2.53
20131024,0.42,0.36,-0.3,-0.02,-0.22,2.53
20131025,0.33,-0.31,0.08,0.15,0.04,2.54
20131028,0.09,-0.04,0.06,0.35,0.15,2.53
20131029,0.54,-0.14,-0.06,0.08,0.24,2.55
20131030,-0.61,-0.74,0.47,0.54,0.05,2.57
20131031,-0.34,-0.11,-0.45,0.34,0.17,2.65
20131101,0.2,-0.63,0.23,0.24,0.29,2.63
20131104,0.47,0.75,-0.06,0.12,-0.07,2.69
20131105,-0.23,-0.02,-0.25,0.21,-0.08,2.67
20131106,0.27,-0.81,0.34,0.27,0.19,2.63
20131107,-1.46,-0.31,0.15,0.12,0.3,2.77
20131108,1.45,0.59,0.46,-0.5,-0.06,2.80
20131111,0.12,0.03,-0.13,0,-0.01,2.75
20131112,-0.19,0.36,-0.7,0.51,0.12,2.69
20131113,0.9,0.08,-0.11,-0.37,-0.24,2.71
20131114,0.43,-0.58,0.3,-0.11,0.02,2.67
20131115,0.43,0.07,-0.28,0.04,-0.04,2.71
20131118,-0.5,-0.39,0.46,0.4,0.28,2.80
20131119,-0.27,-0.28,0.26,0.03,-0.01,2.79
20131120,-0.33,0.27,0.04,0.02,-0.02,2.75
20131121,0.97,0.8,-0.03,-0.45,-0.3,2.74
20131122,0.5,-0.07,0.08,-0.06,-0.02,2.71
20131125,-0.11,0.17,0.13,0.01,0.22,2.74
20131126,0.18,0.8,-0.42,-0.37,-0.41,2.75
20131127,0.3,0.34,-0.04,0.07,0.05,2.81
20131129,-0.02,0.25,-0.15,-0.01,-0.15,2.79
20131202,-0.31,-0.92,0.14,0.03,0.04,2.84
20131203,-0.34,-0.11,-0.09,0.14,-0.02,2.88
20131204,-0.07,-0.22,0.29,-0.37,-0.14,2.88
20131205,-0.35,0.6,-0.65,0.05,-0.43,2.86
20131206,1.02,-0.29,0.18,0,0.44,2.81
20131209,0.17,-0.41,0.01,-0.04,0.05,2.86
20131210,-0.34,-0.55,0.23,-0.05,-0.02,2.89
20131211,-1.17,-0.32,0.06,0.55,0.08,2.88
20131212,-0.23,0.4,0.23,-0.29,-0.09,2.89
20131213,0.1,0.23,0,-0.26,0.2,2.85
20131216,0.67,0.59,-0.13,0.18,-0.02,2.89
20131217,-0.26,0.2,-0.08,-0.15,-0.07,2.94
20131218,1.55,-0.43,0.05,-0.07,0.27,2.89
20131219,-0.1,-0.52,0.24,-0.07,0.13,2.94
20131220,0.69,1.26,-0.29,-0.24,-0.38,2.99
20131223,0.62,0.49,-0.01,-0.21,-0.17,3.00
20131224,0.34,0.1,0.09,-0.05,0.17,3.02
20131226,0.44,-0.33,-0.31,0.21,0.06,2.99
20131227,-0.05,-0.03,0.24,0.09,0.24,3.04
20131230,0,0.02,-0.31,0.12,0.06,3.00
20131231,0.44,-0.17,0.09,-0.04,-0.21,3.01
20140102,-0.88,-0.25,0.18,-0.31,0.13,2.98
20140103,0.03,0.41,0.04,-0.36,0.14,2.96
20140106,-0.34,-0.54,0.29,-0.32,0.09,3.01
