PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
59408,20160104,BAC,BANK OF AMERICA CORP,16.43000,-0.023767,1
59408,20160105,BAC,BANK OF AMERICA CORP,16.43000,0.000000,1
59408,20160106,BAC,BANK OF AMERICA CORP,16.08000,-0.021303,1
59408,20160107,BAC,BANK OF AMERICA CORP,15.50000,-0.036070,1
59408,20160108,BAC,BANK OF AMERICA CORP,15.20000,-0.019355,1
59408,20160111,BAC,BANK OF AMERICA CORP,15.31000,0.007237,1
59408,20160112,BAC,BANK OF AMERICA CORP,15.31000,0.000000,1
59408,20160113,BAC,BANK OF AMERICA CORP,14.90000,-0.026780,1
59408,20160114,BAC,BANK OF AMERICA CORP,14.99000,0.006040,1
59408,20160115,BAC,BANK OF AMERICA CORP,14.46000,-0.035357,1
59408,20160119,BAC,BANK OF AMERICA CORP,14.24000,-0.015214,1
59408,20160120,BAC,BANK OF AMERICA CORP,13.69000,-0.038624,1
59408,20160121,BAC,BANK OF AMERICA CORP,13.36000,-0.024105,1
59408,20160122,BAC,BANK OF AMERICA CORP,13.56000,0.014970,1
59408,20160125,BAC,BANK OF AMERICA CORP,12.96000,-0.044248,1
59408,20160126,BAC,BANK OF AMERICA CORP,13.31000,0.027006,1
59408,20160127,BAC,BANK OF AMERICA CORP,13.36000,0.003757,1
59408,20160128,BAC,BANK OF AMERICA CORP,13.53000,0.012725,1
59408,20160129,BAC,BANK OF AMERICA CORP,14.14000,0.045085,1
59408,20160201,BAC,BANK OF AMERICA CORP,13.96000,-0.012730,1
59408,20160202,BAC,BANK OF AMERICA CORP,13.23000,-0.052292,1
59408,20160203,BAC,BANK OF AMERICA CORP,13.03000,-0.015117,1
59408,20160204,BAC,BANK OF AMERICA CORP,13.25000,0.016884,1
59408,20160205,BAC,BANK OF AMERICA CORP,12.95000,-0.022642,1
59408,20160208,BAC,BANK OF AMERICA CORP,12.27000,-0.052510,1
59408,20160209,BAC,BANK OF AMERICA CORP,12.20000,-0.005705,1
59408,20160210,BAC,BANK OF AMERICA CORP,11.98000,-0.018033,1
59408,20160211,BAC,BANK OF AMERICA CORP,11.16000,-0.068447,1
59408,20160212,BAC,BANK OF AMERICA CORP,11.95000,0.070789,1
59408,20160216,BAC,BANK OF AMERICA CORP,12.25000,0.025105,1
59408,20160217,BAC,BANK OF AMERICA CORP,12.56000,0.025306,1
59408,20160218,BAC,BANK OF AMERICA CORP,12.24000,-0.025478,1
59408,20160219,BAC,BANK OF AMERICA CORP,12.13000,-0.008987,1
59408,20160222,BAC,BANK OF AMERICA CORP,12.54000,0.033800,1
59408,20160223,BAC,BANK OF AMERICA CORP,12.16000,-0.030303,1
59408,20160224,BAC,BANK OF AMERICA CORP,12.13000,-0.002467,1
59408,20160225,BAC,BANK OF AMERICA CORP,12.32000,0.015664,1
59408,20160226,BAC,BANK OF AMERICA CORP,12.70000,0.030844,1
59408,20160229,BAC,BANK OF AMERICA CORP,12.52000,-0.014173,1
59408,20160301,BAC,BANK OF AMERICA CORP,13.19000,0.053514,1
59408,20160302,BAC,BANK OF AMERICA CORP,13.41000,0.020470,1
59408,20160303,BAC,BANK OF AMERICA CORP,13.50000,0.006711,1
59408,20160304,BAC,BANK OF AMERICA CORP,13.54000,0.002963,1
59408,20160307,BAC,BANK OF AMERICA CORP,13.53000,-0.000739,1
59408,20160308,BAC,BANK OF AMERICA CORP,13.06000,-0.034738,1
59408,20160309,BAC,BANK OF AMERICA CORP,13.14000,0.006126,1
59408,20160310,BAC,BANK OF AMERICA CORP,13.27000,0.009893,1
59408,20160311,BAC,BANK OF AMERICA CORP,13.79000,0.039186,1
59408,20160314,BAC,BANK OF AMERICA CORP,13.64000,-0.010877,1
59408,20160315,BAC,BANK OF AMERICA CORP,13.57000,-0.005132,1
59408,20160316,BAC,BANK OF AMERICA CORP,13.31000,-0.019160,1
59408,20160317,BAC,BANK OF AMERICA CORP,13.40000,0.006762,1
59408,20160318,BAC,BANK OF AMERICA CORP,13.79000,0.029105,1
59408,20160321,BAC,BANK OF AMERICA CORP,13.84000,0.003626,1
59408,20160322,BAC,BANK OF AMERICA CORP,13.76000,-0.005780,1
59408,20160323,BAC,BANK OF AMERICA CORP,13.62000,-0.010174,1
59408,20160324,BAC,BANK OF AMERICA CORP,13.68000,0.004405,1
59408,20160328,BAC,BANK OF AMERICA CORP,13.62000,-0.004386,1
59408,20160329,BAC,BANK OF AMERICA CORP,13.42000,-0.014684,1
59408,20160330,BAC,BANK OF AMERICA CORP,13.48000,0.004471,1
59408,20160331,BAC,BANK OF AMERICA CORP,13.52000,0.002967,1
59408,20160401,BAC,BANK OF AMERICA CORP,13.56000,0.002959,1
59408,20160404,BAC,BANK OF AMERICA CORP,13.51000,-0.003687,1
59408,20160405,BAC,BANK OF AMERICA CORP,13.19000,-0.023686,1
59408,20160406,BAC,BANK OF AMERICA CORP,13.27000,0.006065,1
59408,20160407,BAC,BANK OF AMERICA CORP,12.85000,-0.031650,1
59408,20160408,BAC,BANK OF AMERICA CORP,12.88000,0.002335,1
59408,20160411,BAC,BANK OF AMERICA CORP,12.97000,0.006988,1
59408,20160412,BAC,BANK OF AMERICA CORP,13.27000,0.023130,1
59408,20160413,BAC,BANK OF AMERICA CORP,13.79000,0.039186,1
59408,20160414,BAC,BANK OF AMERICA CORP,14.14000,0.025381,1
59408,20160415,BAC,BANK OF AMERICA CORP,14.00000,-0.009901,1
59408,20160418,BAC,BANK OF AMERICA CORP,14.17000,0.012143,1
59408,20160419,BAC,BANK OF AMERICA CORP,14.45000,0.019760,1
59408,20160420,BAC,BANK OF AMERICA CORP,14.93000,0.033218,1
59408,20160421,BAC,BANK OF AMERICA CORP,14.90000,-0.002009,1
59408,20160422,BAC,BANK OF AMERICA CORP,15.11000,0.014094,1
59408,20160425,BAC,BANK OF AMERICA CORP,14.96000,-0.009927,1
59408,20160426,BAC,BANK OF AMERICA CORP,15.09000,0.008690,1
59408,20160427,BAC,BANK OF AMERICA CORP,15.02000,-0.004639,1
59408,20160428,BAC,BANK OF AMERICA CORP,14.79000,-0.015313,1
59408,20160429,BAC,BANK OF AMERICA CORP,14.56000,-0.015551,1
59408,20160502,BAC,BANK OF AMERICA CORP,14.77000,0.014423,1
59408,20160503,BAC,BANK OF AMERICA CORP,14.36000,-0.027759,1
59408,20160504,BAC,BANK OF AMERICA CORP,14.13000,-0.016017,1
59408,20160505,BAC,BANK OF AMERICA CORP,14.05000,-0.005662,1
59408,20160506,BAC,BANK OF AMERICA CORP,14.11000,0.004270,1
59408,20160509,BAC,BANK OF AMERICA CORP,13.99000,-0.008505,1
59408,20160510,BAC,BANK OF AMERICA CORP,14.30000,0.022159,1
59408,20160511,BAC,BANK OF AMERICA CORP,14.20000,-0.006993,1
59408,20160512,BAC,BANK OF AMERICA CORP,14.14000,-0.004225,1
59408,20160513,BAC,BANK OF AMERICA CORP,13.88000,-0.018388,1
59408,20160516,BAC,BANK OF AMERICA CORP,13.93000,0.003602,1
59408,20160517,BAC,BANK OF AMERICA CORP,14.01000,0.005743,1
59408,20160518,BAC,BANK OF AMERICA CORP,14.69000,0.048537,1
59408,20160519,BAC,BANK OF AMERICA CORP,14.53000,-0.010892,1
59408,20160520,BAC,BANK OF AMERICA CORP,14.52000,-0.000688,1
59408,20160523,BAC,BANK OF AMERICA CORP,14.47000,-0.003444,1
59408,20160524,BAC,BANK OF AMERICA CORP,14.68000,0.014513,1
59408,20160525,BAC,BANK OF AMERICA CORP,14.92000,0.016349,1
59408,20160526,BAC,BANK OF AMERICA CORP,14.70000,-0.014745,1
